,Order Id,Column,Timestamp,Size,Price,Fees,Side
112,112,ELECON.NS,2017-11-15,31.0,35.150001525878906,0.0,Sell
113,113,DEEPAKNTR.NS,2017-11-15,5.0,215.0,0.0,Sell
114,114,BEL.NS,2017-11-15,18.0,58.43333435058594,0.0,Sell
115,115,ANANTRAJ.NS,2017-11-15,44.0,23.558622360229492,0.0,Sell
116,116,IFCI.NS,2017-11-15,43.0,24.0,0.0,Sell
117,117,TARIL.NS,2017-11-15,63.0,16.299999237060547,0.0,Sell
118,118,CENTRALBK.NS,2017-11-15,13.0,78.5,0.0,Sell
119,119,SOBHA.NS,2017-11-15,2.0,510.0,0.0,Sell
120,120,JWL.NS,2017-11-15,84.0,12.050000190734863,0.0,Sell
121,121,SCHAEFFLER.NS,2017-11-15,1.0,1012.2000122070312,0.0,Sell
122,122,SCHNEIDER.NS,2017-11-15,8.0,126.5,0.0,Sell
123,123,DABUR.NS,2017-11-15,3.0,337.0,0.0,Sell
124,124,TANLA.NS,2017-11-15,32.0,31.149999618530273,0.0,Sell
125,125,TRITURBINE.NS,2017-11-15,7.0,142.39999389648438,0.0,Sell
126,126,JBCHEPHARM.NS,2017-11-15,7.0,141.5500030517578,0.0,Sell
127,127,SARDAEN.NS,2017-11-15,22.0,44.76499938964844,0.0,Sell
128,128,GRANULES.NS,2017-11-15,8.0,120.0,0.0,Sell
129,129,TATACONSUM.NS,2017-11-15,4.0,237.8999938964844,0.0,Sell
130,130,LTTS.NS,2017-11-15,1.0,944.9000244140624,0.0,Sell
131,131,IDFCFIRSTB.NS,2017-11-15,17.0,55.25,0.0,Sell
132,132,TATACHEM.NS,2017-11-15,3.0,313.0370788574219,0.0,Sell
133,133,APOLLOTYRE.NS,2017-11-15,4.0,233.3999938964844,0.0,Sell
134,134,LINDEINDIA.NS,2017-11-15,2.0,466.5,0.0,Sell
135,135,RHIM.NS,2017-11-15,6.0,155.0,0.0,Sell
136,136,RAYMOND.NS,2017-11-15,1.0,929.0,0.0,Sell
137,137,JUBLPHARMA.NS,2017-11-15,2.0,460.0188903808594,0.0,Sell
138,138,ASHOKLEY.NS,2017-11-15,16.0,57.0,0.0,Sell
139,139,LALPATHLAB.NS,2017-11-15,1.0,900.0,0.0,Sell
140,140,GNFC.NS,2017-11-15,2.0,449.0,0.0,Sell
141,141,JMFINANCIL.NS,2017-11-15,6.0,148.9499969482422,0.0,Sell
142,142,MAHSEAMLES.NS,2017-11-15,4.0,221.0,0.0,Sell
143,143,TATAELXSI.NS,2017-11-15,1.0,880.0,0.0,Sell
144,144,JKTYRE.NS,2017-11-15,6.0,144.9499969482422,0.0,Sell
145,145,COALINDIA.NS,2017-11-15,3.0,274.0,0.0,Sell
146,146,RELIANCE.NS,2017-11-15,2.0,404.3636474609375,0.0,Sell
147,147,DEEPAKFERT.NS,2017-11-15,2.0,399.9158325195313,0.0,Sell
148,148,EXIDEIND.NS,2017-11-15,4.0,199.3999938964844,0.0,Sell
149,149,INDUSTOWER.NS,2017-11-15,2.0,396.0,0.0,Sell
150,150,TIMKEN.NS,2017-11-15,1.0,790.0,0.0,Sell
