,rolling_period,mean_period,rolling_threshold,Total Return [%],Max Drawdown [%],Sharpe Ratio
83,32,64,0,215.63686246096742,40.05059165929378,1.4047757048139073
84,36,12,0,224.2129640833874,31.471928360624712,1.5250007422394087
85,36,16,0,303.7207160091489,39.63705723564511,1.678806575783237
86,36,20,0,272.9681838846939,32.61779524358979,1.596691314959469
87,36,24,0,308.56711585635463,37.851095489120986,1.817994028308772
88,36,28,0,247.8982255112729,35.84867829270721,1.5812706755408459
89,36,32,0,137.54850113793003,36.72659921134673,1.1148151601932592
90,36,36,0,208.4740194618678,29.25283334727748,1.4665875184677506
91,36,40,0,262.94532974829315,24.44814339771574,1.6610223279672005
92,36,44,0,294.0158670997529,23.10730019313261,1.7570642564673327
93,36,48,0,392.8108552669836,30.26965550148149,1.9707519991081182
94,36,52,0,292.4290408325143,32.19764401629997,1.7396340042416683
95,36,56,0,302.2003818826317,35.6126777598128,1.72531433578858
